Grid Size,128
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,0,42.96875,42.969238,0,-2728.515625,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,1,42.968994,42.969238,0,-2685.546753,-2728.515381,0
0,1,1,1,42.968994,42.968994,0,-2685.546753,-2685.546265,0
0,1,1,0,42.96875,42.968994,0,-2728.515625,-2685.546265,0
0,0,0,1,42.968994,42.969238,0,-2685.546753,-2728.515381,0
0,1,1,0,42.96875,42.968994,0,-2728.515625,-2685.546265,0
0,1,0,0,42.96875,42.969238,0,-2728.515625,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,2,42.968506,42.969238,0,-2642.578003,-2728.515381,0
0,1,1,2,42.968506,42.968994,0,-2642.578003,-2685.546265,0
0,1,1,1,42.968994,42.968994,0,-2685.546753,-2685.546265,0
0,0,0,2,42.968506,42.969238,0,-2642.578003,-2728.515381,0
0,1,1,1,42.968994,42.968994,0,-2685.546753,-2685.546265,0
0,1,0,1,42.968994,42.969238,0,-2685.546753,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,3,42.96875,42.969238,0,-2599.609375,-2728.515381,0
0,1,1,3,42.96875,42.968994,0,-2599.609375,-2685.546265,0
0,1,1,2,42.968506,42.968994,0,-2642.578003,-2685.546265,0
0,0,0,3,42.96875,42.969238,0,-2599.609375,-2728.515381,0
0,1,1,2,42.968506,42.968994,0,-2642.578003,-2685.546265,0
0,1,0,2,42.968506,42.969238,0,-2642.578003,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,4,42.968994,42.969238,0,-2556.640503,-2728.515381,0
0,1,1,4,42.968994,42.968994,0,-2556.640503,-2685.546265,0
0,1,1,3,42.96875,42.968994,0,-2599.609375,-2685.546265,0
0,0,0,4,42.968994,42.969238,0,-2556.640503,-2728.515381,0
0,1,1,3,42.96875,42.968994,0,-2599.609375,-2685.546265,0
0,1,0,3,42.96875,42.969238,0,-2599.609375,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,5,42.96875,42.969238,0,-2513.671631,-2728.515381,0
0,1,1,5,42.96875,42.968994,0,-2513.671631,-2685.546265,0
0,1,1,4,42.968994,42.968994,0,-2556.640503,-2685.546265,0
0,0,0,5,42.96875,42.969238,0,-2513.671631,-2728.515381,0
0,1,1,4,42.968994,42.968994,0,-2556.640503,-2685.546265,0
0,1,0,4,42.968994,42.969238,0,-2556.640503,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,6,42.968506,42.969238,0,-2470.703003,-2728.515381,0
0,1,1,6,42.968506,42.968994,0,-2470.703003,-2685.546265,0
0,1,1,5,42.96875,42.968994,0,-2513.671631,-2685.546265,0
0,0,0,6,42.968506,42.969238,0,-2470.703003,-2728.515381,0
0,1,1,5,42.96875,42.968994,0,-2513.671631,-2685.546265,0
0,1,0,5,42.96875,42.969238,0,-2513.671631,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,7,42.968994,42.969238,0,-2427.734253,-2728.515381,0
0,1,1,7,42.968994,42.968994,0,-2427.734253,-2685.546265,0
0,1,1,6,42.968506,42.968994,0,-2470.703003,-2685.546265,0
0,0,0,7,42.968994,42.969238,0,-2427.734253,-2728.515381,0
0,1,1,6,42.968506,42.968994,0,-2470.703003,-2685.546265,0
0,1,0,6,42.968506,42.969238,0,-2470.703003,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
